Row ID,Order ID,Product Name,Category,Sales,Quantity,Discount,Profit
101,CA-2024-538194,Laptop Stand,Office Supplies,637.63,1,0.1,132.63
102,CA-2024-639224,Office Chair,Technology,182.65,2,0.2,17.76
103,CA-2021-301441,Laptop Stand,Technology,233.03,5,0.0,45.11
104,CA-2021-915482,Office Chair,Office Supplies,951.93,7,0.1,306.67
105,CA-2022-858801,Conference Table,Furniture,954.76,1,0.2,126.46
106,CA-2023-928210,Paper Shredder,Office Supplies,1901.41,5,0.1,-1.08
107,CA-2023-401092,Monitor,Technology,279.01,5,0.0,60.01
108,CA-2020-841404,Address Labels,Furniture,509.32,6,0.2,-43.93
109,CA-2019-774360,Office Chair,Technology,884.92,5,0.0,43.69
110,CA-2022-162716,Desk Lamp,Office Supplies,1571.32,10,0.2,-109.29
111,CA-2021-865119,Binder,Office Supplies,1488.91,9,0.0,241.0
112,CA-2022-844845,Keyboard,Office Supplies,749.94,8,0.4,-5.74
113,CA-2020-795383,Address Labels,Furniture,1052.67,2,0.4,337.78
114,CA-2024-401568,Printer,Office Supplies,1493.39,3,0.3,180.15
115,CA-2019-277296,Storage Drawer,Technology,132.29,9,0.1,41.69
116,CA-2022-601595,Mouse,Technology,1545.1,10,0.1,347.63
117,CA-2021-428575,Conference Table,Technology,729.82,6,0.3,-43.83
118,CA-2021-131684,Desk Lamp,Technology,1432.68,1,0.3,-285.41
119,CA-2024-198586,Binder,Technology,307.68,7,0.2,1.15
120,CA-2024-822947,Conference Table,Furniture,159.84,10,0.1,1.95
121,CA-2023-781280,Desk Accessories,Office Supplies,660.08,5,0.1,-50.92
122,CA-2020-730132,Printer,Furniture,1194.56,8,0.1,189.73
123,CA-2021-528157,Binder,Furniture,437.35,9,0.1,90.94
124,CA-2024-603375,Bookcase,Office Supplies,616.74,4,0.2,-18.99
125,CA-2023-842801,Conference Table,Technology,692.66,7,0.1,56.41
126,CA-2020-217992,Desk Lamp,Technology,302.89,4,0.2,6.59
127,CA-2024-338938,Office Chair,Technology,875.7,10,0.2,143.44
128,CA-2021-405888,Binder,Office Supplies,902.09,2,0.2,132.29
129,CA-2020-819415,Binder,Technology,1695.71,6,0.4,-112.77
130,CA-2022-685686,Binder,Furniture,672.44,1,0.3,12.09
131,CA-2020-422436,Paper Shredder,Office Supplies,1697.63,3,0.3,-152.32
132,CA-2020-445861,Address Labels,Office Supplies,672.75,9,0.0,136.3
133,CA-2023-668523,Paper Shredder,Office Supplies,1285.89,1,0.1,138.02
134,CA-2020-827101,Bookcase,Furniture,1136.74,6,0.0,-232.93
135,CA-2019-801077,Bookcase,Furniture,545.02,4,0.0,149.78
136,CA-2024-195027,Office Chair,Office Supplies,1526.7,4,0.1,-359.52
137,CA-2022-755353,Storage Drawer,Office Supplies,913.63,9,0.1,180.01
138,CA-2021-510021,Storage Drawer,Furniture,900.35,8,0.0,-133.51
139,CA-2023-980968,Conference Table,Office Supplies,1071.38,7,0.2,275.38
140,CA-2024-188068,Printer,Technology,1916.18,4,0.0,-125.11
141,CA-2023-569290,Keyboard,Technology,729.82,8,0.4,192.0
142,CA-2023-574813,Desk Lamp,Furniture,803.44,8,0.2,18.22
143,CA-2024-792709,Office Chair,Office Supplies,1412.77,2,0.1,-279.92
144,CA-2022-239675,Monitor,Technology,1758.12,6,0.3,253.01
145,CA-2022-295894,Bookcase,Office Supplies,954.29,2,0.3,71.42
146,CA-2023-650114,Mouse,Office Supplies,283.01,9,0.0,48.91
147,CA-2024-319272,Keyboard,Technology,1445.06,4,0.1,-244.33
148,CA-2023-620973,Keyboard,Office Supplies,1993.48,6,0.4,174.49
149,CA-2024-598414,Mouse,Technology,73.82,6,0.0,16.36
150,CA-2022-863574,Desk Lamp,Office Supplies,918.75,3,0.1,35.19
151,CA-2023-200452,Desk Lamp,Office Supplies,1088.58,1,0.3,-173.67
152,CA-2020-354207,Bookcase,Technology,328.98,6,0.2,-3.61
153,CA-2019-528279,Monitor,Furniture,1927.9,9,0.1,562.64
154,CA-2020-722695,Bookcase,Technology,357.08,4,0.0,-10.93
155,CA-2020-200592,Storage Drawer,Technology,1200.68,1,0.1,-155.32
156,CA-2021-110183,Mouse,Office Supplies,1644.72,8,0.1,-88.85
157,CA-2024-600377,Laptop Stand,Office Supplies,497.48,4,0.2,161.84
158,CA-2020-481290,Desk Accessories,Furniture,107.29,7,0.2,14.3
159,CA-2020-915301,Conference Table,Office Supplies,869.16,4,0.3,-114.87
160,CA-2022-203189,Paper Shredder,Office Supplies,1046.21,8,0.4,-27.29
161,CA-2024-166224,Mouse,Furniture,110.15,5,0.3,15.45
162,CA-2022-250226,Desk Lamp,Technology,1195.35,8,0.2,147.14
163,CA-2021-122885,Desk Lamp,Furniture,1995.98,2,0.0,-164.25
164,CA-2022-378162,Laptop Stand,Office Supplies,1838.37,5,0.4,-214.74
165,CA-2024-913212,Keyboard,Office Supplies,1068.49,1,0.0,107.36
166,CA-2020-865380,Desk Lamp,Technology,235.96,5,0.3,-47.33
167,CA-2020-963650,Printer,Furniture,383.24,5,0.2,25.36
168,CA-2023-866137,Notebook,Office Supplies,1825.5,8,0.0,-13.31
169,CA-2021-554046,Storage Drawer,Office Supplies,1969.14,1,0.3,-152.72
170,CA-2022-497630,Mouse,Technology,558.17,6,0.0,79.47
171,CA-2021-351269,Address Labels,Technology,183.88,6,0.4,-23.49
172,CA-2020-311407,Desk Lamp,Technology,1822.38,3,0.2,24.6
173,CA-2019-848768,Office Chair,Furniture,888.0,3,0.1,255.99
174,CA-2023-180916,Keyboard,Furniture,1765.96,8,0.1,18.65
175,CA-2022-186863,Conference Table,Furniture,1802.79,9,0.0,-176.75
176,CA-2023-558122,Printer,Office Supplies,1495.25,4,0.2,364.94
177,CA-2024-650125,Paper Shredder,Furniture,1118.38,10,0.1,-196.92
178,CA-2022-987412,Paper Shredder,Technology,1222.08,5,0.4,-147.2
179,CA-2023-505901,Keyboard,Technology,1614.35,2,0.3,426.49
180,CA-2022-853444,Laptop Stand,Office Supplies,146.27,8,0.4,-7.63
181,CA-2022-121634,Printer,Technology,942.44,9,0.2,204.35
182,CA-2023-182353,Mouse,Furniture,120.24,2,0.0,16.69
183,CA-2021-965398,Paper Shredder,Technology,1131.51,2,0.4,128.02
184,CA-2024-485473,Conference Table,Office Supplies,901.38,6,0.0,115.22
185,CA-2019-478599,Printer,Technology,747.76,8,0.1,189.85
186,CA-2023-352783,Notebook,Technology,30.7,1,0.3,-3.66
187,CA-2024-750278,Desk Lamp,Office Supplies,1133.9,10,0.0,21.25
188,CA-2019-690621,Laptop Stand,Furniture,1783.93,5,0.0,-379.66
189,CA-2022-240152,Mouse,Furniture,612.05,6,0.2,148.45
190,CA-2023-458222,Laptop Stand,Office Supplies,1664.87,6,0.4,489.88
191,CA-2021-925430,Binder,Office Supplies,142.87,5,0.1,45.57
192,CA-2024-179733,Mouse,Office Supplies,602.35,10,0.2,115.08
193,CA-2019-519041,Keyboard,Office Supplies,1463.03,9,0.4,-233.46
194,CA-2022-932375,Desk Accessories,Office Supplies,1613.05,6,0.4,323.67
195,CA-2024-610575,Laptop Stand,Office Supplies,299.38,1,0.1,20.31
196,CA-2022-575765,Storage Drawer,Office Supplies,1081.55,6,0.1,215.66
197,CA-2023-807716,Printer,Technology,1769.84,8,0.4,163.27
198,CA-2024-815006,Keyboard,Office Supplies,1409.34,6,0.3,-253.91
199,CA-2023-598334,Desk Accessories,Technology,120.72,8,0.0,-10.58
200,CA-2021-982958,Bookcase,Furniture,708.91,9,0.2,64.47
201,CA-2024-748224,Desk Lamp,Office Supplies,934.85,7,0.0,-36.62
202,CA-2024-688830,Mouse,Furniture,1594.49,6,0.0,-59.59
203,CA-2020-611755,Notebook,Furniture,1660.16,4,0.3,26.26
204,CA-2021-498790,Conference Table,Furniture,783.29,9,0.3,-178.28
205,CA-2019-183064,Conference Table,Office Supplies,521.79,4,0.3,111.75
206,CA-2021-740258,Conference Table,Office Supplies,602.95,9,0.0,-48.45
207,CA-2023-539787,Office Chair,Furniture,1664.16,4,0.1,-240.93
208,CA-2023-691881,Desk Lamp,Office Supplies,1211.42,9,0.0,-17.13
209,CA-2024-751344,Storage Drawer,Office Supplies,534.67,10,0.1,159.62
210,CA-2022-636256,Paper Shredder,Technology,1596.47,2,0.1,-309.0
211,CA-2021-823277,Notebook,Office Supplies,602.54,7,0.1,90.6
212,CA-2022-662966,Office Chair,Technology,1971.53,10,0.2,222.32
213,CA-2020-261029,Monitor,Technology,1062.99,2,0.0,78.54
214,CA-2022-109548,Monitor,Office Supplies,777.45,6,0.2,-99.31
215,CA-2019-601949,Keyboard,Furniture,350.92,3,0.1,80.39
216,CA-2024-424167,Mouse,Furniture,1292.31,5,0.3,109.39
217,CA-2021-609221,Laptop Stand,Office Supplies,1044.31,6,0.4,70.34
218,CA-2023-134759,Desk Lamp,Office Supplies,1846.91,3,0.2,548.15
219,CA-2021-490891,Mouse,Furniture,1570.55,2,0.0,-208.8
220,CA-2022-866012,Monitor,Furniture,878.95,7,0.4,-34.35
221,CA-2020-698334,Binder,Technology,1105.45,3,0.2,27.44
222,CA-2024-555438,Conference Table,Technology,491.86,4,0.4,67.32
223,CA-2023-739870,Office Chair,Technology,909.28,2,0.2,19.12
224,CA-2019-381445,Conference Table,Furniture,88.9,5,0.1,-12.59
225,CA-2024-960415,Address Labels,Furniture,815.01,1,0.0,-172.46
226,CA-2022-163021,Desk Lamp,Technology,601.59,3,0.3,2.79
227,CA-2019-737008,Conference Table,Furniture,1555.85,9,0.4,459.5
228,CA-2024-610078,Printer,Technology,1119.45,7,0.3,-47.89
229,CA-2021-394232,Binder,Technology,1365.78,1,0.3,335.34
230,CA-2022-188379,Address Labels,Technology,1409.7,1,0.1,247.98
231,CA-2023-544907,Binder,Furniture,1760.08,10,0.4,-331.1
232,CA-2021-421726,Printer,Furniture,994.69,3,0.4,7.7
233,CA-2019-208730,Desk Lamp,Technology,963.24,3,0.1,217.5
234,CA-2024-540354,Mouse,Office Supplies,737.75,5,0.3,-57.86
235,CA-2021-641476,Binder,Technology,1749.86,10,0.0,-64.61
236,CA-2024-944656,Paper Shredder,Technology,103.63,4,0.0,-25.83
237,CA-2019-330680,Paper Shredder,Technology,1103.84,3,0.0,210.4
238,CA-2024-278606,Office Chair,Furniture,1466.41,5,0.4,-296.31
239,CA-2022-435556,Office Chair,Furniture,1119.99,8,0.2,305.25
240,CA-2023-970792,Storage Drawer,Office Supplies,983.77,6,0.2,163.8
241,CA-2022-591966,Notebook,Office Supplies,1397.8,7,0.2,-92.12
242,CA-2021-529627,Monitor,Furniture,1371.2,5,0.2,-146.16
243,CA-2019-809902,Desk Lamp,Technology,1424.38,8,0.0,364.5
244,CA-2021-639964,Laptop Stand,Technology,395.92,2,0.3,105.56
245,CA-2019-192754,Mouse,Furniture,567.72,9,0.1,-115.3
246,CA-2024-694405,Desk Lamp,Office Supplies,1549.71,10,0.4,170.73
247,CA-2022-560167,Desk Lamp,Office Supplies,592.83,3,0.1,144.49
248,CA-2019-244811,Notebook,Office Supplies,472.74,8,0.2,-90.86
249,CA-2020-887319,Paper Shredder,Office Supplies,1090.04,7,0.4,93.72
250,CA-2020-977819,Bookcase,Office Supplies,265.72,6,0.0,-44.95
251,CA-2019-837508,Desk Lamp,Technology,1140.55,6,0.1,313.16
252,CA-2024-112986,Laptop Stand,Furniture,385.36,9,0.1,125.66
253,CA-2020-116477,Monitor,Office Supplies,1545.74,6,0.0,-227.18
254,CA-2019-752794,Desk Accessories,Furniture,1828.51,1,0.1,112.41
255,CA-2022-803330,Binder,Office Supplies,1254.52,10,0.1,407.05
256,CA-2019-912997,Printer,Furniture,1019.24,4,0.3,46.08
257,CA-2024-541195,Storage Drawer,Office Supplies,1797.73,7,0.3,526.48
258,CA-2022-574896,Desk Accessories,Furniture,932.39,3,0.3,-115.81
259,CA-2020-348477,Paper Shredder,Furniture,97.17,4,0.2,17.17
260,CA-2021-554113,Notebook,Technology,616.37,9,0.4,6.09
261,CA-2022-734167,Keyboard,Technology,131.61,2,0.4,-29.6
262,CA-2019-119393,Binder,Technology,1360.33,5,0.2,230.21
263,CA-2019-776934,Paper Shredder,Technology,1426.99,3,0.4,-278.5
264,CA-2024-111485,Desk Accessories,Office Supplies,321.62,7,0.3,-35.74
265,CA-2019-666281,Laptop Stand,Office Supplies,365.25,5,0.0,127.78
266,CA-2024-605584,Bookcase,Technology,981.05,1,0.3,232.63
267,CA-2020-542747,Monitor,Technology,1236.6,6,0.2,-193.3
268,CA-2024-492208,Mouse,Office Supplies,887.84,9,0.2,168.1
269,CA-2020-539039,Printer,Technology,846.17,10,0.4,246.84
270,CA-2020-964802,Conference Table,Office Supplies,629.45,3,0.1,208.09
271,CA-2021-445415,Conference Table,Technology,883.15,1,0.4,96.54
272,CA-2022-602376,Printer,Office Supplies,1624.95,2,0.0,357.52
273,CA-2022-313871,Conference Table,Technology,984.35,3,0.3,-205.54
274,CA-2024-968862,Storage Drawer,Technology,804.3,8,0.3,162.75
275,CA-2019-875449,Desk Lamp,Office Supplies,1693.44,10,0.4,280.05
276,CA-2019-933731,Laptop Stand,Office Supplies,852.39,3,0.1,-16.35
277,CA-2021-481527,Mouse,Furniture,1856.29,6,0.3,-373.79
278,CA-2020-670278,Office Chair,Technology,1196.06,5,0.3,-177.45
279,CA-2022-331391,Desk Lamp,Office Supplies,793.12,1,0.1,55.78
280,CA-2024-631109,Storage Drawer,Office Supplies,1135.4,7,0.2,355.37
281,CA-2024-466970,Paper Shredder,Office Supplies,1726.85,3,0.4,179.13
282,CA-2022-912489,Printer,Furniture,1491.37,2,0.2,69.88
283,CA-2024-186450,Office Chair,Office Supplies,1566.73,5,0.3,-357.23
284,CA-2020-206117,Address Labels,Furniture,920.1,4,0.3,-192.67
285,CA-2019-739307,Keyboard,Furniture,408.26,7,0.3,-82.76
286,CA-2020-741867,Conference Table,Technology,1833.91,5,0.0,105.43
287,CA-2022-304119,Notebook,Technology,1231.12,4,0.2,-258.32
288,CA-2024-443457,Desk Accessories,Furniture,1883.14,10,0.2,466.15
289,CA-2022-300411,Printer,Technology,149.74,1,0.3,34.43
290,CA-2023-954269,Notebook,Technology,104.79,5,0.1,-13.14
291,CA-2020-412006,Paper Shredder,Furniture,808.85,8,0.1,-45.75
292,CA-2023-799685,Office Chair,Furniture,1625.49,10,0.4,254.47
293,CA-2023-228512,Binder,Office Supplies,311.35,4,0.1,-64.91
294,CA-2020-710272,Paper Shredder,Technology,502.23,5,0.4,-44.86
295,CA-2024-963977,Bookcase,Furniture,1829.61,3,0.3,540.05
296,CA-2021-711032,Office Chair,Furniture,74.12,1,0.4,-5.46
297,CA-2024-351754,Printer,Technology,1016.49,8,0.1,37.75
298,CA-2019-364905,Notebook,Technology,601.22,5,0.4,-86.11
299,CA-2019-527728,Paper Shredder,Office Supplies,1790.73,10,0.4,558.79
300,CA-2022-640520,Paper Shredder,Office Supplies,812.27,1,0.3,34.16
301,CA-2021-528079,Mouse,Office Supplies,528.95,6,0.4,-65.32
302,CA-2019-525047,Storage Drawer,Furniture,38.72,10,0.3,1.51
303,CA-2019-899246,Conference Table,Office Supplies,1917.35,2,0.4,485.16
304,CA-2022-154207,Bookcase,Furniture,825.2,7,0.2,-50.04
305,CA-2024-712392,Binder,Office Supplies,391.04,6,0.1,-55.06
306,CA-2020-635692,Keyboard,Furniture,89.82,10,0.3,7.29
307,CA-2024-174676,Printer,Furniture,1655.0,2,0.0,137.21
308,CA-2021-932723,Monitor,Technology,1113.7,6,0.1,340.35
309,CA-2024-677626,Laptop Stand,Technology,1072.55,8,0.1,77.71
310,CA-2023-869967,Monitor,Office Supplies,1175.8,7,0.2,-132.89
311,CA-2020-541789,Address Labels,Technology,486.49,10,0.2,65.4
312,CA-2021-355547,Printer,Furniture,1073.78,6,0.4,-73.43
313,CA-2020-287825,Storage Drawer,Office Supplies,145.21,2,0.0,10.87
314,CA-2022-761647,Paper Shredder,Office Supplies,1247.37,7,0.3,-121.12
315,CA-2023-307204,Address Labels,Office Supplies,260.1,4,0.4,-50.44
316,CA-2024-233091,Conference Table,Furniture,1645.92,3,0.1,59.94
317,CA-2021-945652,Keyboard,Office Supplies,1963.52,1,0.4,423.49
318,CA-2024-288911,Office Chair,Technology,712.41,1,0.0,-50.6
319,CA-2022-721678,Bookcase,Technology,1487.95,1,0.0,-36.76
320,CA-2023-935723,Monitor,Furniture,764.23,3,0.3,161.71
321,CA-2023-237876,Office Chair,Technology,243.35,5,0.4,13.8
322,CA-2023-765557,Conference Table,Furniture,1802.1,2,0.2,-301.98
323,CA-2023-717647,Binder,Technology,393.56,7,0.2,-40.87
324,CA-2023-651527,Keyboard,Office Supplies,855.82,8,0.2,55.25
325,CA-2020-736578,Laptop Stand,Technology,1153.7,10,0.4,-179.53
326,CA-2024-301981,Desk Lamp,Office Supplies,1755.64,2,0.4,100.08
327,CA-2024-206583,Laptop Stand,Furniture,895.73,3,0.0,220.46
328,CA-2019-136311,Conference Table,Technology,1996.52,5,0.4,537.57
329,CA-2019-735753,Desk Lamp,Technology,330.89,6,0.2,-41.36
330,CA-2024-171919,Notebook,Furniture,881.97,10,0.0,252.17
331,CA-2020-245728,Mouse,Furniture,1741.69,2,0.2,478.71
332,CA-2021-637871,Keyboard,Office Supplies,531.26,3,0.0,-96.4
333,CA-2022-348454,Bookcase,Technology,1968.35,10,0.1,-52.14
334,CA-2022-755151,Notebook,Technology,518.09,1,0.0,-41.36
335,CA-2020-526864,Printer,Furniture,1525.09,4,0.3,396.02
336,CA-2023-930151,Office Chair,Furniture,577.97,3,0.4,-8.84
337,CA-2023-564906,Desk Accessories,Furniture,901.39,9,0.1,-189.3
338,CA-2021-889434,Notebook,Technology,422.9,9,0.3,6.45
339,CA-2020-410345,Laptop Stand,Furniture,1488.68,7,0.2,-162.14
340,CA-2023-570451,Notebook,Office Supplies,1386.61,6,0.3,160.98
341,CA-2023-678069,Mouse,Furniture,577.91,10,0.0,56.72
342,CA-2020-982130,Desk Lamp,Furniture,451.23,2,0.2,-13.21
343,CA-2023-539680,Desk Lamp,Furniture,165.58,10,0.1,15.17
344,CA-2021-336533,Storage Drawer,Furniture,498.85,9,0.2,-31.85
345,CA-2022-913492,Mouse,Office Supplies,611.88,4,0.4,-14.06
346,CA-2023-667267,Conference Table,Office Supplies,1523.11,8,0.2,301.27
347,CA-2019-646681,Laptop Stand,Furniture,1782.06,6,0.3,396.76
348,CA-2020-990957,Mouse,Office Supplies,110.3,6,0.4,-10.31
349,CA-2020-929744,Paper Shredder,Technology,194.92,9,0.0,-48.63
350,CA-2022-351789,Monitor,Furniture,724.36,4,0.2,73.19
351,CA-2023-907110,Bookcase,Technology,1110.71,6,0.3,-170.63
352,CA-2023-528540,Address Labels,Office Supplies,1485.74,9,0.3,105.09
353,CA-2021-580083,Storage Drawer,Office Supplies,33.85,1,0.1,9.73
354,CA-2019-923970,Desk Accessories,Technology,1708.04,9,0.2,95.66
355,CA-2021-867933,Mouse,Technology,182.12,7,0.4,59.49
356,CA-2019-355781,Office Chair,Office Supplies,1484.39,10,0.0,-170.87
357,CA-2019-771854,Desk Accessories,Office Supplies,1668.19,1,0.3,569.51
358,CA-2022-766478,Conference Table,Technology,1481.49,5,0.2,305.72
359,CA-2022-458056,Conference Table,Technology,512.27,6,0.0,-12.49
360,CA-2019-288080,Monitor,Technology,1352.06,3,0.2,-118.31
361,CA-2021-124590,Desk Lamp,Technology,184.74,4,0.1,9.14
362,CA-2023-470893,Storage Drawer,Furniture,115.28,9,0.4,-26.23
363,CA-2024-635296,Notebook,Office Supplies,105.12,3,0.4,35.19
364,CA-2023-755701,Monitor,Office Supplies,705.23,5,0.2,-134.11
365,CA-2021-839425,Printer,Furniture,637.36,10,0.1,184.46
366,CA-2023-746104,Printer,Furniture,950.99,5,0.1,-51.79
367,CA-2021-852023,Monitor,Technology,673.31,3,0.0,61.41
368,CA-2021-195532,Printer,Office Supplies,772.82,2,0.1,226.06
369,CA-2019-191931,Laptop Stand,Technology,1813.4,10,0.2,429.58
370,CA-2021-651664,Desk Lamp,Office Supplies,381.52,2,0.4,50.03
371,CA-2023-500582,Paper Shredder,Furniture,295.08,4,0.0,-39.56
